stream,site,subsite,river_location,latitude,longitude,river_mile
battle creek,ubc,ubc,NA,40.39766667,-122.1341667,5.9
butte creek,okie dam,okie dam 1,NA,39.709525,-121.750386,NA
clear creek,lcc,lcc,NA,40.50583333,-122.3958333,1.7
deer creek,deer creek,deer creek,NA,40.010966,-121.960678,6.8
feather river,eye riffle,eye riffle north,LFC,39.456597,-121.615317,60.2
feather river,"rm 17 (new ""lower"" RST)",lower feather,,39.00506,-121.579237,17
mill creek,mill creek,mill creek,NA,40.054738,-122.028682,5.7
sacramento river,tisdale,tisdale,NA,39.02487387,-121.8218916,120
sacramento river,knights landing,8.3,NA,38.802278,-121.698781,88.5
sacramento river,delta entry,delta entry rm 75,NA,38.72514,-121.60481,75
yuba river,hallwood,hal,NA,39.182161,-121.506503,7.5
