sample_id,genetic_run_name,datetime_collected,fork_length_mm,field_run_name
BTC25_13_B_1,Spring/Winter Heterozygous,2025-04-24T08:14:00Z,77,Fall
BTC25_13_B_2,Winter,2025-04-25T09:06:00Z,78,Fall
BTC25_13_B_3,Winter,2025-04-25T09:14:00Z,75,Fall
BTC25_13_B_4,Spring/Winter Heterozygous,2025-04-25T09:17:00Z,75,Fall
BTC25_13_C_1,Spring,2025-04-24T08:21:00Z,93,Spring
BTC25_13_C_2,Spring,2025-04-24T08:27:00Z,100,Spring
BTC25_13_C_3,Winter,2025-04-25T09:10:00Z,100,Spring
BTC25_13_C_4,Spring,2025-04-26T12:44:00Z,93,Spring
BTC25_14_B_1,Winter,2025-05-05T01:15:00Z,80,Fall
BTC25_14_B_2,Early/Late Heterozygous,2025-05-11T12:09:00Z,73,Fall
BTC25_14_C_1,Early/Late Heterozygous,2025-05-06T10:43:00Z,90,Fall
BTC25_14_C_2,Fall,2025-05-06T10:43:00Z,90,Fall
BTC25_14_C_3,Fall,2025-05-07T01:45:00Z,83,Fall
BTC25_14_C_4,Winter,2025-05-07T01:45:00Z,86,Fall
BTC25_14_C_5,Winter,2025-05-07T01:45:00Z,92,Fall
BTC25_14_C_6,Winter,2025-05-08T12:12:00Z,87,Fall
BTC25_14_C_7,Winter,2025-05-08T12:12:00Z,92,Fall
BTC25_14_C_8,Winter,2025-05-10T12:42:00Z,80,Fall
BTC25_14_C_9,Fall,2025-05-11T11:55:00Z,93,Fall
BTC25_3_A_1,Spring,2024-12-03T11:25:00Z,32,Fall
BTC25_3_A_2,Spring,2024-12-05T08:10:00Z,32,Fall
BTC25_3_A_3,Spring,2024-12-07T11:21:00Z,36,Spring
BTC25_3_A_4,Spring,2024-12-07T11:23:00Z,35,Spring
BTC25_3_A_5,Unknown,2024-12-07T11:29:00Z,33,Fall
BTC25_4_A_1,Spring,2024-12-18T12:06:00Z,35,Fall
BTC25_4_A_10,Spring,2024-12-18T12:42:00Z,35,Fall
BTC25_4_A_11,Spring,2024-12-18T12:47:00Z,34,Fall
BTC25_4_A_12,Spring,2024-12-18T12:50:00Z,34,Fall
BTC25_4_A_13,Spring,2024-12-18T12:55:00Z,34,Fall
BTC25_4_A_14,Spring,2024-12-18T12:57:00Z,34,Fall
BTC25_4_A_15,Spring,2024-12-18T13:00:00Z,34,Fall
BTC25_4_A_16,Spring,2024-12-18T13:03:00Z,34,Fall
BTC25_4_A_17,Spring,2024-12-18T13:06:00Z,33,Fall
BTC25_4_A_18,Spring,2024-12-18T13:10:00Z,33,Fall
BTC25_4_A_19,Spring,2024-12-18T13:11:00Z,34,Fall
BTC25_4_A_2,Spring,2024-12-18T12:12:00Z,34,Fall
BTC25_4_A_20,Spring,2024-12-18T13:13:00Z,34,Fall
BTC25_4_A_3,Spring,2024-12-18T12:17:00Z,34,Fall
BTC25_4_A_4,Spring,2024-12-18T12:22:00Z,36,Fall
BTC25_4_A_5,Spring,2024-12-18T12:24:00Z,33,Fall
BTC25_4_A_6,Spring,2024-12-18T12:28:00Z,34,Fall
BTC25_4_A_7,Spring,2024-12-18T12:32:00Z,34,Fall
BTC25_4_A_8,Spring,2024-12-18T12:36:00Z,34,Fall
BTC25_4_A_9,Spring,2024-12-18T12:40:00Z,34,Fall
BTC25_5_A_1,Spring,2025-01-01T15:00:00Z,32,Fall
BTC25_5_A_10,Spring,2025-01-01T15:00:00Z,33,Fall
BTC25_5_A_11,Unknown,2025-01-01T15:00:00Z,33,Fall
BTC25_5_A_12,Spring,2025-01-01T15:00:00Z,34,Fall
BTC25_5_A_13,Spring,2025-01-02T08:30:00Z,35,Fall
BTC25_5_A_14,Unknown,2025-01-02T08:30:00Z,34,Fall
BTC25_5_A_15,Spring,2025-01-02T08:30:00Z,35,Fall
BTC25_5_A_16,Spring,2025-01-02T08:30:00Z,36,Fall
BTC25_5_A_17,Spring,2025-01-02T08:30:00Z,37,Fall
BTC25_5_A_18,Spring,2025-01-02T08:30:00Z,34,Fall
BTC25_5_A_19,Spring,2025-01-02T08:30:00Z,33,Fall
BTC25_5_A_2,Spring,2025-01-01T15:00:00Z,35,Fall
BTC25_5_A_20,Spring,2025-01-02T08:30:00Z,35,Fall
BTC25_5_A_3,Spring,2025-01-01T15:00:00Z,33,Fall
BTC25_5_A_4,Spring,2025-01-01T15:00:00Z,33,Fall
BTC25_5_A_5,Unknown,2025-01-01T15:00:00Z,35,Fall
BTC25_5_A_6,Spring,2025-01-01T15:00:00Z,33,Fall
BTC25_5_A_7,Spring,2025-01-01T15:00:00Z,34,Fall
BTC25_5_A_8,Unknown,2025-01-01T15:00:00Z,34,Fall
BTC25_5_A_9,Spring,2025-01-01T15:00:00Z,35,Fall
BTC25_6_A_1,Unknown,2025-01-14T08:21:00Z,37,NA
BTC25_6_A_2,Early/Late Heterozygous,2025-01-17T13:37:00Z,35,NA
BUT25_13_X_1,Unknown,2025-04-20T07:40:00Z,91,Spring
BUT25_13_X_2,Early/Late Heterozygous,2025-04-24T09:25:00Z,93,Spring
BUT25_3_A_1,Spring,2024-12-05T10:50:00Z,34,Spring
BUT25_3_A_2,Spring,2024-12-10T10:55:00Z,36,Spring
BUT25_3_A_3,Spring,2024-12-14T09:30:00Z,36,Spring
BUT25_3_X_1,Spring,2024-12-14T09:30:00Z,34,Spring
